Data;BD;BS;PT;BTN A;BTN B;BTN C;Preço
31/12/2025;V;V;0,1435782;0,0189669;0,0218119;0,0202544;85,
31/12/2025;V;V;0,1429037;0,0187246;0,0215304;0,0200111;85,
31/12/2025;V;V;0,142483;0,0185105;0,0212886;0,0198272;85,
31/12/2025;V;V;0,1422283;0,0183272;0,0212909;0,0197313;85,
31/12/2025;V;V;0,1421306;0,0181855;0,02111;0,0197148;85,
31/12/2025;V;V;0,1421496;0,0180911;0,021042;0,0197488;85,
31/12/2025;V;V;0,1422871;0,0179913;0,0209101;0,0198097;85,
31/12/2025;V;V;0,142544;0,017914;0,0210151;0,0199329;85,
31/12/2025;V;V;0,1429586;0,0179114;0,0211749;0,0200898;85,
31/12/2025;V;V;0,1435079;0,017967;0,0213897;0,020324;85,
31/12/2025;V;V;0,1441842;0,0179979;0,0215465;0,0206258;85,
31/12/2025;V;V;0,1449865;0,0180543;0,021733;0,0209917;85,
31/12/2025;V;V;0,1459588;0,0181226;0,0219761;0,0214175;85,
31/12/2025;V;V;0,1471356;0,0182447;0,0223695;0,0219453;85,
31/12/2025;V;V;0,1485432;0,0183729;0,0228396;0,0225644;85,
31/12/2025;V;V;0,1523725;0,0185507;0,0233509;0,0232736;85,
31/12/2025;V;V;0,1543098;0,0188052;0,0238879;0,0240636;85,
31/12/2025;V;V;0,1566121;0,0191021;0,0244258;0,0250332;85,
31/12/2025;V;V;0,1593723;0,0194426;0,0250561;0,0261659;85,
31/12/2025;V;V;0,162677;0,0197903;0,0257692;0,0275065;85,
31/12/2025;V;V;0,1666518;0,0201887;0,0266013;0,0290127;85,
31/12/2025;V;V;0,1714842;0,0206445;0,0276069;0,0306851;85,
31/12/2025;V;V;0,1774749;0,0215841;0,0289224;0,0330073;85,
30/12/2025;V;C;0,1825044;0,0226295;0,0302909;0,0354658;85,
30/12/2025;V;C;0,1894589;0,0237458;0,0316138;0,0379989;85,
30/12/2025;V;C;0,1959181;0,0245417;0,0327414;0,0400996;85,
30/12/2025;V;C;0,201623;0,0254171;0,0339838;0,0422094;85,
30/12/2025;V;C;0,2071673;0,0263184;0,0351527;0,0442099;85,
30/12/2025;V;C;0,2123398;0,0271785;0,0361408;0,0460337;85,
30/12/2025;V;C;0,2170657;0,0279502;0,0369713;0,0476074;85,
30/12/2025;V;C;0,2214035;0,028678;0,0377285;0,0490977;85,
30/12/2025;C;C;0,2254617;0,0293614;0,0384691;0,0504656;85,
30/12/2025;C;C;0,2292297;0,0300173;0,0390614;0,0517347;85,
30/12/2025;C;C;0,2327227;0,0306462;0,0395746;0,0528339;85,
30/12/2025;C;C;0,2359602;0,0313135;0,0400543;0,0538282;85,
30/12/2025;C;C;0,240627;0,03196;0,0406376;0,05478;85,
30/12/2025;C;C;0,2434586;0,0325854;0,0412683;0,0556838;85,
30/12/2025;C;C;0,2459197;0,0331859;0,041954;0,056587;85,
30/12/2025;C;C;0,2477138;0,0338598;0,0425006;0,0571367;85,
30/12/2025;C;C;0,2484915;0,034572;0,0428934;0,0572185;85,
30/12/2025;C;C;0,2481608;0,0353058;0,0430281;0,0566413;85,
30/12/2025;C;C;0,2468515;0,0360287;0,0430046;0,0556595;85,
30/12/2025;C;C;0,2449141;0,0367872;0,0429116;0,054456;85,
30/12/2025;C;C;0,2425227;0,0374487;0,0426672;0,0531296;85,
30/12/2025;C;C;0,2396972;0,0380355;0,0422236;0,0516889;85,
30/12/2025;C;C;0,234849;0,0385921;0,0416139;0,0500687;85,
30/12/2025;C;C;0,2312595;0,0393557;0,0409344;0,0481692;85,
30/12/2025;C;C;0,2274372;0,0399905;0,0402268;0,0460682;85,
30/12/2025;C;C;0,2236188;0,040476;0,0394333;0,0438606;85,
30/12/2025;C;C;0,2201042;0,040599;0,0386888;0,0417994;85,
30/12/2025;C;C;0,2168676;0,0407385;0,0380068;0,0400387;85,
30/12/2025;C;C;0,2137639;0,040842;0,0374346;0,0386873;85,
30/12/2025;C;C;0,2109283;0,0410073;0,0370037;0,0376998;85,
30/12/2025;C;C;0,2085023;0,0410907;0,0367679;0,0369964;85,
30/12/2025;C;C;0,2064638;0,0412464;0,0367548;0,0365352;85,
30/12/2025;C;C;0,2048285;0,0414439;0,0368143;0,0362892;85,
30/12/2025;C;C;0,2035644;0,0417919;0,0369146;0,0362349;85,
30/12/2025;C;C;0,2026431;0,0421654;0,0370869;0,0363168;85,
30/12/2025;C;C;0,2019892;0,0425543;0,0374181;0,0365215;85,
30/12/2025;C;C;0,2015076;0,0428823;0,0379182;0,0367668;85,
30/12/2025;C;C;0,2010465;0,0430795;0,0383865;0,0370235;85,
30/12/2025;C;C;0,2005102;0,0431072;0,038675;0,0372539;85,
30/12/2025;C;C;0,1998993;0,0426929;0,0387808;0,0374028;85,
30/12/2025;C;C;0,1993993;0,0421915;0,038822;0,0376008;85,
30/12/2025;C;C;0,1993397;0,041586;0,0389898;0,0378819;85,
30/12/2025;C;C;0,1998601;0,0414553;0,0392361;0,0383563;85,
30/12/2025;C;C;0,200929;0,0416393;0,0396008;0,0388898;85,
30/12/2025;C;C;0,2022155;0,0422917;0,0399265;0,0393029;85,
30/12/2025;C;C;0,2034513;0,0434219;0,0402646;0,0395712;85,
30/12/2025;C;C;0,2043704;0,0445845;0,0404451;0,0395274;85,
30/12/2025;C;C;0,2046845;0,0456889;0,0404135;0,039263;85,
30/12/2025;C;C;0,2059588;0,0461187;0,0400813;0,0387593;85,
30/12/2025;C;C;0,2051879;0,0461628;0,0396339;0,038229;85,
30/12/2025;C;C;0,2043443;0,0458137;0,0392468;0,0377165;85,
30/12/2025;C;C;0,2036487;0,0454134;0,0389585;0,0372917;85,
30/12/2025;C;C;0,2032504;0,0450121;0,0388826;0,0369915;85,
30/12/2025;C;C;0,203084;0,0446089;0,0388728;0,0368157;85,
30/12/2025;C;C;0,2029528;0,0441429;0,0388827;0,036735;85,
30/12/2025;C;C;0,2026057;0,0436465;0,0385911;0,0365633;85,
30/12/2025;C;C;0,201829;0,0430512;0,0382077;0,0362906;85,
30/12/2025;C;C;0,2005299;0,0423008;0,037717;0,0358424;85,
30/12/2025;C;C;0,1970442;0,0412467;0,0370838;0,0352491;85,
30/12/2025;C;C;0,1944599;0,0397;0,0360634;0,0344632;85,
30/12/2025;C;C;0,1913271;0,0378655;0,0348948;0,0337775;85,
30/12/2025;C;C;0,1878908;0,0357244;0,0338812;0,0331717;85,
30/12/2025;C;C;0,1840915;0,0336664;0,0331139;0,0325149;85,
30/12/2025;C;C;0,1797246;0,0312359;0,0324237;0,0315761;85,
30/12/2025;V;C;0,1746118;0,0288913;0,0314846;0,0303966;85,
30/12/2025;V;C;0,1690318;0,0267162;0,0302874;0,0290578;85,
30/12/2025;V;C;0,1635394;0,0251899;0,0287441;0,027568;85,
30/12/2025;V;C;0,1586943;0,0238894;0,0270802;0,0259107;85,
30/12/2025;V;V;0,1565095;0,022705;0,0256384;0,024373;85,
30/12/2025;V;V;0,1531859;0,0215968;0,0245117;0,0230716;85,
30/12/2025;V;V;0,1506012;0,0207858;0,0237706;0,022113;85,
30/12/2025;V;V;0,1486738;0,0201265;0,0230969;0,021332;85,
30/12/2025;V;V;0,1450388;0,0196452;0,0225563;0,0207449;85,
30/12/2025;V;V;0,144007;0,0192435;0,022031;0,0203393;85,
30/12/2025;V;V;0,1433225;0,0190038;0,0217024;0,0201046;85,
30/12/2025;V;V;0,1429092;0,0188006;0,0214356;0,0199368;85,
30/12/2025;V;V;0,1426678;0,0186439;0,0213627;0,0198527;85,
30/12/2025;V;V;0,1425832;0,0185161;0,0211806;0,0198392;85,
30/12/2025;V;V;0,1426211;0,0183967;0,0211122;0,0199003;85,
30/12/2025;V;V;0,1427797;0,0182593;0,0210298;0,0199862;85,
30/12/2025;V;V;0,1430525;0,0181714;0,0211279;0,0201129;85,
30/12/2025;V;V;0,1434785;0,0181715;0,0212664;0,0202852;85,
30/12/2025;V;V;0,1440451;0,0182232;0,0214704;0,0205311;85,
30/12/2025;V;V;0,1447386;0,0182618;0,0216486;0,0208355;85,
30/12/2025;V;V;0,1455582;0,0183287;0,0218387;0,0211919;85,
30/12/2025;V;V;0,1465492;0,0184157;0,0220752;0,021604;85,
30/12/2025;V;V;0,1477619;0,0185526;0,0224498;0,0221425;85,
30/12/2025;V;V;0,1492291;0,0186915;0,0229198;0,0227794;85,
30/12/2025;V;V;0,1531386;0,0188888;0,0234364;0,023525;85,
30/12/2025;V;V;0,1551678;0,0191552;0,0239782;0,0243554;85,
30/12/2025;V;V;0,1575608;0,0194691;0,0245401;0,0253622;85,
30/12/2025;V;V;0,1604028;0,0198099;0,0251714;0,0265562;85,
30/12/2025;V;V;0,1637617;0,0201638;0,0258819;0,0279554;85,
30/12/2025;V;V;0,1677263;0,0205787;0,0267048;0,0295184;85,
30/12/2025;V;V;0,1724327;0,0210538;0,0276804;0,0312308;85,
30/12/2025;V;V;0,1780998;0,0218581;0,0289605;0,0333263;85,
29/12/2025;V;C;0,1826338;0,0227539;0,0302675;0,035536;85,
29/12/2025;V;C;0,1891569;0,0237268;0,0315567;0,0377932;85,
29/12/2025;V;C;0,1953659;0,0245224;0,0326714;0,039871;85,
29/12/2025;V;C;0,2010171;0,025396;0,0339045;0,0419633;85,
29/12/2025;V;C;0,2065126;0,02629;0,0350706;0,0439436;85,
29/12/2025;V;C;0,2116398;0,0271479;0,0360554;0,0457441;85,
29/12/2025;V;C;0,2163317;0,0279194;0,0368872;0,0473157;85,
29/12/2025;V;C;0,2206434;0,028648;0,0376412;0,0487962;85,
29/12/2025;C;C;0,2246674;0,0293269;0,0383764;0,0501544;85,
29/12/2025;C;C;0,228398;0,029976;0,038964;0,0514012;85,
